trump_word,trump_count,trump_frequency,trump_syllable,,obama_word,obama_frequency,obama_count,obama_syllable
rate,120,0.000273372,1,,close,0.000303131,32,1
market,184,0.00041917,2,,tough,0.000189457,20,1
may,159,0.000362217,1,,small,0.000539952,57,1
proud,150,0.000341714,1,,paid,0.000312604,33,1
fast,180,0.000410057,1,,running,0.000170511,18,2
voting,145,0.000330324,2,,enforcement,2.84E-05,3,4
anything,165,0.000375886,3,,almost,1.52E-04,16,2
fair,110,0.000250591,1,,terrible,9.47E-06,1,3
carolina,175,0.000398667,4,,find,5.12E-04,54,1
low,169,0.000384998,1,,something,0.000407332,43,3
wow,180,0.000410057,1,,fraud,1.89E-05,2,1
join,109,0.000248313,1,,beautiful,6.63E-05,7,4
supreme,164,0.000373608,2,,badly,9.47E-06,1,2
iran,174,0.000396389,2,,men,4.64E-04,49,1
friends,98,0.000223253,1,,lives,0.000341022,36,1
system,118,0.000268815,2,,action,0.000757827,80,2
continue,154,0.000350827,3,,chance,0.000805191,85,1
despite,167,0.000380442,2,,biggest,0.00013262,14,2
lets,59,0.000134408,1,,weve,0.001240942,131,1
greatest,166,0.000378164,2,,week,0.000530479,56,1
took,130,0.000296153,1,,war,0.000530479,56,1
close,144,0.000328046,1,,hes,0.000473642,50,1
tough,156,0.000355383,1,,pass,0.000824137,87,1
small,119,0.000271093,1,,phony,9.47E-06,1,2
paid,142,0.00032349,1,,safe,1.80E-04,19,1
running,157,0.000357661,2,,presidents,0.001004121,106,3
enforcement,171,0.000389554,4,,healthcare,1.89E-05,2,2
almost,157,0.000357661,2,,problem,1.33E-04,14,2
farmers,173,0.000394111,2,,poll,1.89E-05,2,1
terrible,172,0.000391833,3,,start,2.37E-04,25,1
find,117,0.000266537,1,,november,0.000217875,23,3
something,128,0.000291596,3,,little,0.000161038,17,2
fraud,168,0.00038272,1,,between,0.000312604,33,2
beautiful,163,0.00037133,4,,allowed,3.79E-05,4,2
mike,169,0.000384998,1,,power,4.17E-04,44,2
badly,168,0.00038272,2,,class,0.001155686,122,1
men,119,0.000271093,1,,special,0.000208402,22,2
lives,132,0.000300709,1,,called,0.000123147,13,1
loves,167,0.000380442,1,,early,0.000227348,24,2
action,87,0.000198194,2,,stock,2.84E-05,3,1
chance,81,0.000184526,1,,around,3.22E-04,34,2
biggest,152,0.000346271,2,,morning,0.000208402,22,2
weve,34,7.75E-05,1,,seen,0.000189457,20,1
week,109,0.000248313,1,,michigan,4.74E-05,5,3
war,108,0.000246034,1,,cannot,3.50E-04,37,2
hes,114,0.000259703,1,,rally,0.00013262,14,2
pass,77,0.000175413,1,,mitt,0.001297779,137,1
phony,163,0.00037133,2,,free,0.000625207,66,1
georgia,164,0.000373608,2,,major,8.53E-05,9,2
safe,143,0.000325768,1,,months,5.49E-04,58,1
presidents,56,0.000127573,3,,hope,0.000255767,27,1
healthcare,160,0.000364495,2,,bring,0.000274712,29,1
problem,147,0.00033488,2,,leaders,0.000217875,23,2
poll,159,0.000362217,1,,person,0.000255767,27,2
start,135,0.000307543,1,,fantastic,9.47E-06,1,3
comey,160,0.000364495,2,,polls,1.04E-04,11,1
november,137,0.000312099,3,,use,0.000217875,23,1
little,143,0.000325768,2,,sign,0.00063468,67,1
rigged,159,0.000362217,1,,ohio,0.000255767,27,2
between,126,0.00028704,2,,young,0.000871501,92,1
allowed,155,0.000353105,2,,along,0.000104201,11,2
power,114,0.000259703,2,,police,7.58E-05,8,2
class,36,8.20E-05,1,,nations,1.52E-04,16,2
donald,157,0.000357661,2,,unemployment,0.000331549,35,4
schiff,157,0.000357661,1,,highly,9.47E-06,1,2
special,134,0.000305265,2,,possible,1.42E-04,15,3
called,143,0.000325768,1,,obamacare,0.000558897,59,4
early,131,0.000298431,2,,statement,0.000255767,27,3
stock,152,0.000346271,1,,lot,0.000274712,29,1
around,121,0.00027565,2,,via,0.000179984,19,1
morning,133,0.000302987,2,,talk,0.000208402,22,1
seen,134,0.000305265,1,,thousands,0.000151565,16,2
michigan,149,0.000339436,3,,secretary,0.000161038,17,4
cannot,117,0.000266537,2,,part,0.000369441,39,1
rally,140,0.000318933,2,,team,0.000322076,34,1
mitt,16,3.64E-05,1,,given,6.63E-05,7,2
free,86,0.000195916,1,,actually,1.23E-04,13,3
major,143,0.000325768,2,,fired,0.00043575,46,1
months,94,0.000214141,1,,longer,0.000284185,30,2
hope,124,0.000282484,1,,victory,0.000161038,17,3
bring,122,0.000277928,1,,service,0.000255767,27,2
leaders,128,0.000291596,2,,ballots,9.47E-06,1,2
person,123,0.000280206,2,,name,8.81E-04,93,1
ratings,150,0.000341714,2,,reason,0.000255767,27,2
fantastic,149,0.000339436,3,,heading,7.58E-05,8,2
southern,150,0.000341714,2,,progress,5.59E-04,59,2
polls,139,0.000316655,1,,hit,9.47E-05,10,1
use,126,0.00028704,1,,less,5.12E-04,54,1
sign,82,0.000186804,1,,anyone,0.000179984,19,2
ohio,122,0.000277928,2,,ask,0.000483115,51,1
young,56,0.000127573,1,,raise,0.000719936,76,1
